"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinSocket_1x16_P2.54mm_Vertical";1;"Lilygo_R";;;
2;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Accel_L";;;
3;"J4";"PinSocket_1x06_P2.54mm_Vertical";1;"Accel_R";;;
4;"D1,D2,D3";"LED_D5.0mm";3;"LED";;;
5;"R1,R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"R";;;
6;"J1";"PinSocket_1x16_P2.54mm_Vertical";1;"Lilygo_L";;;
7;"RV2";"POT_3386P";1;"Pot2";;;
8;"RV1";"POT_3386P";1;"Pot1";;;
9;"B2";"SW_B3WN-600x_OMR";1;"PB2";;;
10;"B1";"SW_B3WN-600x_OMR";1;"PB1";;;
